genes	logFC	AveExpr	t	P.Value	adj.P.Val	B
Cdh23	-0.467000938823571	3.50511701441593	-3.4178144693547	0.00433720668470516	0.999940267207259	-3.5406235365733
Syt17	0.206488264452523	6.51533754862769	2.45318269979995	0.028362468763599	0.999940267207259	-3.5410478196712
Hspb6	-0.299786640800784	4.31186475840787	-2.86052835707096	0.0129198062400039	0.999940267207259	-3.55547599921321
Ilf2	0.141754107402276	6.25361099402478	2.45427074977471	0.0283037312740274	0.999940267207259	-3.5571224838193
Pfdn5	-0.166915143483754	5.59584080592811	-2.51736118829963	0.025090355724621	0.999940267207259	-3.56152438147658
Pde8a	-0.275704008261668	4.83479332070704	-2.66119336414948	0.0190253426953106	0.999940267207259	-3.56626146204823
Gstt3	-0.27393465941983	5.5574257844509	-2.5158154654019	0.0251647170045781	0.999940267207259	-3.56783981438558
Stk40	-0.222627169391918	5.72772490419782	-2.49036200611593	0.0264201299219775	0.999940267207259	-3.57094825022185
Slc48a1	-0.130125264729812	6.80791893515531	-2.40166137519123	0.0312812280248718	0.999940267207259	-3.57453238490771
LOC681996	0.137233017177825	6.71543638204025	2.39835610229793	0.0314779520651548	0.999940267207259	-3.58278685702913
Wbscr16	-0.303191564066569	4.14648712550109	-2.89172407562567	0.0121571540541543	0.999940267207259	-3.58357450115377
Nsg2	0.132997401832174	9.59256798050094	2.31878849538487	0.0365847933310688	0.999940267207259	-3.58734282449603
Snca	0.168608435539084	7.82954566637642	2.35146499290885	0.034398938724829	0.999940267207259	-3.58840560823149
Tjp2	-0.180339193849887	6.18986513804276	-2.42555806429048	0.0298934429436993	0.999940267207259	-3.58872592491272
Atg13	-0.119199678554297	7.02829540304389	-2.37285040399057	0.0330361525630115	0.999940267207259	-3.59228915770526
Efhd1	-0.220190848620237	4.8685725151258	-2.61122491115344	0.0209510156486785	0.999940267207259	-3.59651964981318
Parp14	-0.43902360219974	3.64635187791324	-3.17240594381987	0.00701822313666949	0.999940267207259	-3.59884774870404
Rab3c	0.197042419239593	6.23527697816864	2.41146858192951	0.0307043988825932	0.999940267207259	-3.5988529316464
Zic1	-0.763585102701703	3.54067017171414	-3.25421872463874	0.00597768840536014	0.999940267207259	-3.60974734333846
Rtcd1	0.181834383858059	5.01284363797582	2.54796272488367	0.0236610045916354	0.999940267207259	-3.61877269298827
Rab33a	-0.293344754029336	4.16319420684082	-2.82395513882929	0.0138739262707003	0.999940267207259	-3.61972704631041
Zfp57	0.303098524642788	4.31966766405736	2.7564881767837	0.0158185436076784	0.999940267207259	-3.62049395022967
Cox17	0.233159138617371	4.52928627018979	2.66445520140959	0.0189057967987158	0.999940267207259	-3.63020451086357
Swap70	-0.222362343882277	4.94452231292082	-2.54101748017475	0.0239783566142144	0.999940267207259	-3.63618315574209
Hr	-0.184539859808405	5.34956225290839	-2.45225818033348	0.028412469902617	0.999940267207259	-3.64655118769079
Nphp3	-0.446475889318394	3.20065970885073	-3.44685154960288	0.00409734196974152	0.999940267207259	-3.64760639481577
RGD1565712	-0.272004870642257	3.938928585476	-2.88626897302781	0.012287245053178	0.999940267207259	-3.64805667942815
Ndrg1	-0.165905091374121	7.22024822812368	-2.30974091909867	0.0372129061888955	0.999940267207259	-3.64834738542119
Txndc11	-0.187315649932204	5.39260249762186	-2.44156953270514	0.0289967096957884	0.999940267207259	-3.65034992311332
Spry4	0.254578390178228	4.50392351627291	2.63186982065239	0.0201335249020074	0.999940267207259	-3.65864351676303
Nipal4	-0.41658668004834	3.56966922075523	-3.09504053785254	0.00816773534857509	0.999940267207259	-3.66198883358333
Pygo1	0.242157756658476	4.33781561009852	2.68445219750076	0.0181887100405103	0.999940267207259	-3.66201834931508
Pla2g7	-0.337542134466227	5.30920130693007	-2.4401773580787	0.0290736466380861	0.999940267207259	-3.6628444007737
Sorbs3	-0.205886636516678	5.86450131558804	-2.36810325398502	0.0333341572646976	0.999940267207259	-3.66730895606894
Ube2j1	0.139443674403839	5.96843019921478	2.35583581278674	0.0341161356901267	0.999940267207259	-3.66990891493496
Zfp61	-0.441217596314083	5.03365132932598	-2.47996527551969	0.0269500348384942	0.999940267207259	-3.67118981976599
Ube2i	0.181527488373241	5.78386786438642	2.36752718653335	0.0333704936740875	0.999940267207259	-3.6747188199056
