genes	logFC	AveExpr	t	P.Value	adj.P.Val	B
Opalin	-0.355298844011383	7.28072697177516	-3.92177155262757	0.00150294549036904	0.251569952849464	-0.977892234818403
Trim9	0.223066534437866	8.32531090465761	3.87712378844384	0.00142927728762036	0.247087794193678	-0.996923690299592
Epha7	-0.377096213021128	7.34223618884249	-3.93672282721899	0.00157884792930433	0.25795924849688	-1.00880858648276
Swap70	-0.348295497951203	4.9008175459892	-3.80804965783075	0.00164868450294244	0.25795924849688	-1.01091356687384
Vps9d1	0.305936014169983	5.68653684998795	3.80545265098704	0.00165756660941702	0.25795924849688	-1.03122578810698
Sec11c	-0.27417309691954	6.39023858444175	-3.81829850175142	0.00161409819558981	0.25795924849688	-1.03629945600387
Clic4	-0.263126143613731	5.22402337320724	-3.79119144367074	0.0017072091168217	0.25795924849688	-1.04181818339372
Scd	-0.204586304851601	11.9714557790411	-3.90027871455021	0.00136252927525832	0.247087794193678	-1.05921629157135
Xbp1	0.239239834984113	6.58407306460487	3.79428054209026	0.00169633043771153	0.25795924849688	-1.0947143582946
Mest	0.297306315426551	5.48964289212841	3.76510646205783	0.00180192122111791	0.25795924849688	-1.09936188871591
Pdp1	0.334565757977944	5.93596107929823	3.77174591124696	0.00177732285326844	0.25795924849688	-1.10632952824659
Abca1	-0.237759769301543	7.24671205213748	-3.76846207227024	0.00178944650340147	0.25795924849688	-1.17309888927592
Galnt9	0.24404326729137	7.45998411319397	3.7705701054175	0.00178165428488835	0.25795924849688	-1.1790188831329
Dos	0.29918531736312	8.6727941697398	3.80414071261476	0.00179128042082815	0.25795924849688	-1.20404667746322
Urb2	-0.36037493106398	4.76485884612501	-3.69399648759075	0.00208788354639477	0.270249334226866	-1.21862261249959
Sf3a3	-0.24702769049575	5.40097365205377	-3.69127858584626	0.00209967688554545	0.270249334226866	-1.23184148344212
Trerf1	0.24502016260712	6.24811686646408	3.71390026695631	0.00200352466363418	0.270249334226866	-1.23247104398697
Nr3c2	-0.274704923383186	7.81355993369193	-3.74513188337683	0.00187801248848634	0.265360725645863	-1.23862360723705
Klf5	0.444525320931423	4.09521493467403	3.69592758708732	0.00207954474733202	0.270249334226866	-1.25353605698327
Nr4a3	0.214749146290833	6.69121874461926	3.68075449889214	0.00214597760157328	0.271491119826946	-1.31945729764756
Pla2g7	-0.345361130394521	5.32421568032955	-3.63863794495684	0.00234177158192641	0.286274997880442	-1.3262626644689
Plagl2	-0.418775206826416	3.57213487775861	-3.71223122185809	0.00201046497065333	0.270249334226866	-1.3427587475529
Prr5	0.514901017801054	3.8294817882142	3.66491854774052	0.00221758940735697	0.277326123586711	-1.3430371650461
Sri	-0.260333752552472	5.51358331425561	-3.58731212614195	0.00260479277044217	0.30423957517858	-1.43079290511938
Prodh	0.33601530535192	6.45429460634935	3.62995079170359	0.00256052096738705	0.30423957517858	-1.45467487186808
Rasgrp2	0.427079366886999	3.92389020173436	3.58563269745535	0.00261388258662532	0.30423957517858	-1.46044128525612
Bcas1	-0.247432734202087	8.10005190633364	-3.6196520706157	0.00243580757795049	0.29446207164557	-1.49413036162711
Syt10	0.610876603837328	3.00475422936127	3.70324843847966	0.00204823517295073	0.270249334226866	-1.50207245009913
Kcna3	0.385678702946041	4.5030125046151	3.53603438182666	0.00289715046504862	0.30423957517858	-1.50372663469839
Thrsp	-0.316434306838578	4.49099372196794	-3.53586411828938	0.00289817402469056	0.30423957517858	-1.50639264345846
Slc2a9	-0.685562641465728	2.41344935720212	-3.93989012110744	0.00125556421806973	0.247087794193678	-1.52825847812089
Snx4	-0.238822465194706	6.13871240188874	-3.55242634523261	0.00280028396299357	0.30423957517858	-1.5323774484648
Tle2	0.453787839661505	4.7029494165038	3.53348049187577	0.00305771466615158	0.30423957517858	-1.53975788963804
Chga	0.213188509997236	7.00329309127711	3.56642294781598	0.00272014385193936	0.30423957517858	-1.55757664539559
St18	-0.286059473244666	5.53757146139764	-3.51978422138944	0.00299648945821729	0.30423957517858	-1.55830331549246
Npas2	0.226701462958104	7.06946316723415	3.56057088084706	0.00275336761085208	0.30423957517858	-1.57233796743301
Tcp11l2	-0.287795031682906	4.68806722047331	-3.49053103353614	0.00318398380949374	0.309301284350821	-1.58333881354405
Parp14	-0.564282613835263	3.61553967757217	-3.54942239479951	0.00281778952828769	0.30423957517858	-1.5937078656736
Ndufab1	0.219661658952905	5.94406845438127	3.51328049636295	0.00303719596072553	0.30423957517858	-1.59824410871575
Lrrc43	1.02460206578054	1.68341979945497	4.18364934715604	0.000760673311433424	0.20409764881324	-1.59936781714222
Anapc10	-0.65747782097821	2.78807211526485	-3.7336620761188	0.00192315992741827	0.268256153978344	-1.60332154361586
Grik3	0.344131775275937	6.0448237618633	3.53021808701525	0.00310391478353147	0.30423957517858	-1.61140672385919
