genes	logFC	AveExpr	t	P.Value	adj.P.Val	B
Tuba1b	0.289326635977337	6.94348683443354	4.78031663885302	0.00015643317595856	0.047464943229216	1.05212838587595
Scd1	-0.356957881488539	5.43996643906128	-4.73846447838944	0.000171273308198316	0.0482681400403521	0.99064575216802
Afg3l1	-0.37793975792245	4.49237348624471	-4.77848873609195	0.000157053120979024	0.047464943229216	0.977978831245515
Sstr1	0.383342656012191	5.56866777257503	4.72210654488964	0.000177456397207177	0.0482681400403521	0.96060229142028
Stip1	0.234200234553481	7.52424834837446	4.73313967486041	0.000173261561096216	0.0482681400403521	0.936320529828882
Enpp6	-1.42063278300483	1.93296830174302	-6.15900998706672	8.78175929710406e-06	0.018782680199945	0.911979943583616
Cited2	0.331555411699807	5.36143752250595	4.64326518504812	0.000210601255570698	0.0558863819660778	0.801109180851805
Scd	-0.217823623225534	11.9534708906199	-4.72652888652778	0.000175762729292282	0.0482681400403521	0.770494532977001
Lpar1	-0.378792838906358	6.39908658413924	-4.62574860310355	0.000232618881544361	0.0577879737395202	0.705292280777003
Fa2h	-0.40248370004041	5.35555456051133	-4.57936327814568	0.00024204485024478	0.0585210660147378	0.674697193869335
Fkbp4	0.245352511570863	7.35529320874097	4.59545829956509	0.000233701364387765	0.0577879737395202	0.655719092681882
Atm	-0.332674951794507	6.40628404347023	-4.56286811210511	0.000250909978992516	0.058524202123033	0.624277535274656
Dennd5a	-0.202230670806687	9.18198513817746	-4.60683752071682	0.000227979343043342	0.0577879737395202	0.620737784051461
Cyp2j10	-0.792020949616213	2.63274659966057	-5.12521657664078	7.45886100913363e-05	0.0368874580815336	0.568824751116333
Abca1	-0.253704909332503	7.22558139511051	-4.54543655433362	0.000260637142285102	0.058524202123033	0.556330755130523
Sstr2	0.443046668533838	4.48594408959889	4.53957414862333	0.000263993814869402	0.058524202123033	0.532281208427065
Wbp2	0.25561004446836	7.5870922454231	4.52625857056214	0.000271781968823554	0.058524202123033	0.503670814771309
Gna12	-0.206448574140339	8.3160427846314	-4.51919525984063	0.000276007482168693	0.058524202123033	0.464801558102724
Nr4a3	0.258609122888068	6.72512602975389	4.4901081317768	0.000294122797947243	0.058524202123033	0.461852469342577
Cox17	0.446504722453539	4.63603388906074	4.48698124204548	0.000296140673502065	0.058524202123033	0.452604805763261
Per3	-0.313540522020777	5.96206604627642	-4.47110236694754	0.000306606573622507	0.058524202123033	0.451752426499987
Serinc2	0.450426254312156	4.54727516150257	4.4853016086998	0.000297230382208974	0.058524202123033	0.438798979990231
Ankrd52	0.259512526516763	6.68269763635933	4.47122238099025	0.000306526080856996	0.058524202123033	0.424580087340604
Actg1	-0.210604325733128	8.81482054549949	-4.50441189438415	0.000285068476351913	0.058524202123033	0.41697933576097
Gltp	-0.333153666633428	5.22480208884056	-4.44609078511675	0.000323858147120001	0.0586649441172684	0.408986932851947
Flnc	-0.384488386128194	5.7398147054181	-4.44185267477252	0.00032687739248387	0.0586649441172684	0.39845093610347
Padi2	-0.242100225922068	6.90904477088968	-4.40998001063236	0.000350516781112358	0.0586649441172684	0.287606660988484
Cd9	-0.455305972817547	5.76443592388856	-4.46848610037723	0.000382831896353498	0.0586649441172684	0.284659561887151
Sf1	0.189146585155464	7.70283713771671	4.41791866949163	0.000344471509946794	0.0586649441172684	0.272826500571455
Hdac4	0.278191154573046	6.80930253669953	4.398790407025	0.000359220598910072	0.0586649441172684	0.268953996904195
Cpm	-0.354506448379851	5.36563976555939	-4.37496235347868	0.00037849168030965	0.0586649441172684	0.268861738353086
Nr4a2	0.322953114899474	6.43917281914558	4.38993298691789	0.000366265305200016	0.0586649441172684	0.267256502419231
Slc7a11	-0.366246539224913	7.17754408063845	-4.4783285325779	0.000373992928270633	0.0586649441172684	0.253069405816504
Kcnk12	0.438106075426209	4.58280011380264	4.38199484680462	0.000372697674479763	0.0586649441172684	0.247626997395008
Sorcs3	0.251113294125211	6.70991445127547	4.38481390768791	0.00037040036230824	0.0586649441172684	0.244426866733997
Pex11a	0.633361000918848	3.60478699230781	4.50401868076011	0.000285313562117911	0.058524202123033	0.236474166251749
Vps9d1	0.308354204251076	5.7047365185336	4.35896470627446	0.000392013960791647	0.0592376651862933	0.231647261805042
Bcas1	-0.263394714442886	8.07828577940797	-4.38022467550569	0.000374147591931432	0.0586649441172684	0.180562947196188
Pnkd	0.222363937248272	7.81910445822687	4.37067486159715	0.000382068761302064	0.0586649441172684	0.169587139127505
Adamts2	0.510526424275679	4.38538029752111	4.34631138305484	0.000403054940039979	0.0594288165155467	0.155593447165426
Wipf2	0.254816527778335	6.11331321894851	4.30625775059977	0.000440122808107137	0.0638471486960753	0.109246818613165
RGD1310587	-0.616818643894483	3.85414764906537	-4.34501545986955	0.000404203347624123	0.0594288165155467	0.0438377189151753
Ubl5	0.309666702775774	6.11222155261863	4.27260585150459	0.000473920117688389	0.0663387014712229	0.0403710273295674
Csf1	-0.354952915959583	4.70215556287714	-4.263522780545	0.000483483941849989	0.0665861428775681	0.0315965096022905
Xbp1	0.260334335075086	6.60794355168814	4.2710066846845	0.000475589955400312	0.0663387014712229	0.0131697466131735
Scrt2	0.549058730417169	3.98879896626469	4.29468613758601	0.000451460475700262	0.0646301312581427	-0.0110246440498747
Trim46	0.235405293377395	5.98410713382766	4.24237879992115	0.000506509184203289	0.0680348138781701	-0.0159726874686248
Pde10a	0.229630516550237	6.74131042547161	4.25273594964118	0.000495095322439562	0.0673329638517805	-0.0315265161606817
Opalin	-0.477813857317528	7.19976883364636	-4.54938296317084	0.00057012923180963	0.0723801541889776	-0.0449005077400857
Msmo1	-0.235990505907018	6.61094139084887	-4.23056105314857	0.000519857634342231	0.0685926993864914	-0.071007723108254
Erbb3	-0.24841920112221	5.84396380187413	-4.18983416245802	0.000568640827584723	0.0723801541889776	-0.117107600028167
Hmgcs1	-0.20462406621122	8.34340275940761	-4.227587842337	0.000523271511863859	0.0685926993864914	-0.151366968857645
Gltscr1	0.299200330761515	6.12710171314662	4.17244863077275	0.000590848331709342	0.0725308834285182	-0.166250537197101
44441	-0.249600578804698	6.98511213712398	-4.18706364677762	0.00057212254230258	0.0723801541889776	-0.180943183739752
