"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000152583",954.770931565544,4.36835864527067,0.237126791796417,18.4220374769844,8.74489804717109e-76,1.34155480941652e-71
"ENSG00000179094",743.252688449073,2.86388865850473,0.175569314419446,16.3120114011651,8.10783556894002e-60,6.21911527315544e-56
"ENSG00000116584",2277.91345410747,-1.0347007724444,0.0650984360864412,-15.8944029173062,6.92854594272018e-57,3.54302744357567e-53
"ENSG00000189221",2383.75370672631,3.34154402446202,0.212405785252044,15.7318880015292,9.14432590595405e-56,3.50707759308103e-52
"ENSG00000120129",3440.70375496308,2.9652108028191,0.203695128555857,14.5571021940566,5.26424315863463e-48,1.61517508593228e-44
"ENSG00000148175",13493.9203682606,1.42716828092124,0.100389041283306,14.2163752405371,7.2512784784093e-46,1.85403105228795e-42
"ENSG00000178695",2685.40973562001,-2.48906893759147,0.178066074434701,-13.9783445302168,2.11347084868736e-44,4.63182232710183e-41
"ENSG00000109906",439.541520915421,5.92760001886975,0.428136869479246,13.8451052488884,1.361811394821e-43,2.61144357599362e-40
"ENSG00000134686",2933.64246142684,1.43948999773361,0.105851508732035,13.5991448301195,4.05142856408594e-42,6.90588506684915e-39
"ENSG00000101347",14134.9917673153,3.85041431110557,0.284873520233715,13.516223999853,1.2545165338812e-41,1.92455381462714e-38
"ENSG00000096060",2630.23049426017,3.94505193427764,0.292884106018896,13.4696689004459,2.35921552463639e-41,3.29024776031335e-38
"ENSG00000166741",7542.25286980186,2.21959060728289,0.166737386682869,13.3118951390578,1.97410002805416e-40,2.52372237753157e-37
"ENSG00000125148",3695.87946177106,2.1985635708861,0.167008739398452,13.1643624088482,1.40720537833718e-39,1.66061059300544e-36
"ENSG00000162614",5646.18313812309,1.97114016629128,0.150213844094885,13.1222270368514,2.45609603402152e-39,2.69135494699458e-36
"ENSG00000106976",989.046833637733,-1.85017141617635,0.147802596310386,-12.5178546410036,5.96250435078558e-36,6.09805194969344e-33
"ENSG00000187193",199.07693798836,3.25514248478068,0.260918540790712,12.4757040067601,1.01306837012959e-35,9.71342616634876e-33
"ENSG00000256235",1123.47954131474,1.28011865747292,0.105504614525408,12.1332954319703,7.03598989149511e-34,6.34936005443686e-31
"ENSG00000177666",2639.57019969705,1.13999461547859,0.096096672270892,11.8629978389366,1.84257652288497e-32,1.57038702430991e-29
"ENSG00000164125",7257.00808055341,1.02485248526771,0.0866045399527402,11.833703935463,2.61349314726838e-32,2.11018938801286e-29
"ENSG00000198624",2020.04495478061,2.81410138992209,0.240617017730102,11.6953547860802,1.34623406081291e-31,1.03262883634654e-28
"ENSG00000123562",5008.55293511073,1.00454516881879,0.0890432106360997,11.2815470336548,1.61873953642473e-29,1.1825277727758e-26
"ENSG00000144369",1283.77979687001,-1.30900391613546,0.117172542155688,-11.1715926961469,5.61646483831931e-29,3.91646304930257e-26
"ENSG00000196517",241.91536257078,-2.34569143562621,0.210498178622011,-11.1435236683845,7.70108370125037e-29,5.136622828734e-26
"ENSG00000135821",19973.4000047829,3.04139431082023,0.275986922699146,11.0200667519876,3.05832198032867e-28,1.95490489584259e-25
"ENSG00000164647",1885.61489540935,1.54719051629029,0.142645376455724,10.8464119534259,2.07408275087318e-27,1.27274013924582e-24
"ENSG00000157150",194.419230565533,2.90878358165784,0.268519421207821,10.8326748529916,2.41010306142927e-27,1.42205350251486e-24
"ENSG00000276600",308.766133363223,-1.76082972077219,0.163014965752602,-10.8016445768819,3.3809289936994e-27,1.92099376638306e-24
"ENSG00000163697",2417.25697073947,0.917525132491457,0.0859935495199475,10.6696971762821,1.41085431892388e-26,7.72997003807542e-24
"ENSG00000116285",3268.63191573428,2.44021976886152,0.22939172724936,10.6377845361828,1.9880003086379e-26,1.05165216326945e-23
